feature,p_value,ks_stat,p_value_fdr_corrected,neg_log10_p_value,signature,compartment,channel
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_1of4,1.0662181849325293e-38,0.1916960236256936,2.366572119934702e-38,37.625880256117846,on,Cytoplasm,Mitochondria
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_2of4,5.623727061947019e-77,0.27016440376939993,1.9758228233685518e-76,75.70425200219942,on,Cytoplasm,Mitochondria
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_3of4,1.9760719188072072e-125,0.34362486501237544,1.1489196908463143e-124,123.9397103273093,on,Cytoplasm,Mitochondria
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_4of4,1.252013292347622e-144,0.36837436909131716,9.347417421277134e-144,143.02930836288323,on,Cytoplasm,Mitochondria
Cytoplasm_RadialDistribution_RadialCV_PM_1of4,0.00004484728536733588,0.06692690825032524,0.00005347489380460921,4.271850069217734,on,Cytoplasm,PM
Cytoplasm_RadialDistribution_RadialCV_PM_2of4,0.04314080980221272,0.040013203233336514,0.045495203916619195,1.3420343840535032,on,Cytoplasm,PM
Cytoplasm_RadialDistribution_RadialCV_PM_3of4,0.000010853546092159717,0.07122971626485104,0.000013156420263005414,4.880862262052484,on,Cytoplasm,PM
Cytoplasm_RadialDistribution_RadialCV_PM_4of4,4.281238172240896e-12,0.10605112469825237,6.1280467955604975e-12,11.212677926962902,on,Cytoplasm,PM
Cytoplasm_Texture_AngularSecondMoment_ER_3_01_256,6.640617278667326e-197,0.42774133051928825,7.271475920140723e-196,195.1383774297301,on,Cytoplasm,ER
Cytoplasm_Texture_AngularSecondMoment_Hoechst_3_01_256,8.054739471157503e-52,0.22188238372908642,2.1424954787653766e-51,50.66908008588052,on,Cytoplasm,Hoechst
Cytoplasm_Texture_AngularSecondMoment_Mitochondria_3_03_256,6.487e-321,0.555397193537102,1.46965e-319,318.8327867695125,on,Cytoplasm,Mitochondria
Cytoplasm_Texture_Contrast_ER_3_01_256,2.4474128253295684e-120,0.3367205209502553,1.339958521867939e-119,118.87290864492076,on,Cytoplasm,ER
Cytoplasm_Texture_Contrast_ER_3_03_256,5.936417724226957e-126,0.34432509706871905,3.545660404379192e-125,124.45030286252155,on,Cytoplasm,ER
Cytoplasm_Texture_Contrast_Hoechst_3_01_256,1.7648193368989395e-211,0.44266607096953864,2.1471968598937097e-210,209.66812813663208,on,Cytoplasm,Hoechst
Cytoplasm_Texture_Contrast_Hoechst_3_03_256,4.755588796954205e-212,0.44323521446616243,5.8951355464130426e-211,210.22950620475336,on,Cytoplasm,Hoechst
Cytoplasm_Texture_Contrast_Mitochondria_3_01_256,4.828748832847271e-87,0.28710242135526215,1.866169401870975e-86,85.72904893563853,on,Cytoplasm,Mitochondria
Cytoplasm_Texture_Contrast_Mitochondria_3_03_256,2.5830102542584833e-95,0.3002599056642255,1.1091749915345252e-94,93.95499993098112,on,Cytoplasm,Mitochondria
Cytoplasm_Texture_Contrast_PM_3_01_256,2.584826450320174e-30,0.1695201422890734,5.0845238858094444e-30,29.293749708119122,on,Cytoplasm,PM
Cytoplasm_Texture_Contrast_PM_3_03_256,3.901050091059632e-32,0.17458364785789776,7.910462684648699e-32,31.101798113782582,on,Cytoplasm,PM
Cytoplasm_Texture_Correlation_Actin_3_01_256,9.471720431542886e-227,0.45768582863086116,1.3240256007497183e-225,224.87810361749686,on,Cytoplasm,Actin
Cytoplasm_Texture_Correlation_ER_3_00_256,3.402293123870322e-10,0.09703760650045692,4.676373603311301e-10,9.330090799611355,on,Cytoplasm,ER
Cytoplasm_Texture_Correlation_ER_3_01_256,0.00010440231611762162,0.06422707577814538,0.00012270540552643543,3.911136304929125,on,Cytoplasm,ER
Cytoplasm_Texture_Correlation_ER_3_02_256,0.00004065206935142202,0.06723355470423974,0.00004856074466160776,4.313714662131574,on,Cytoplasm,ER
Cytoplasm_Texture_Correlation_ER_3_03_256,0.0016587444907539904,0.054463097570678645,0.0018471103905514776,2.7335071486449065,on,Cytoplasm,ER
Cytoplasm_Texture_Correlation_Hoechst_3_00_256,1.996798044694031e-33,0.17808208879182416,4.099675985512433e-33,32.38725046602772,on,Cytoplasm,Hoechst
Cytoplasm_Texture_Correlation_Hoechst_3_01_256,1.3871072806387695e-34,0.18116278991646642,2.9115957935452765e-34,33.53586891672761,on,Cytoplasm,Hoechst
Cytoplasm_Texture_Correlation_Hoechst_3_02_256,6.5505042603757945e-22,0.1438185465597931,1.1091962110997158e-21,20.954991622596967,on,Cytoplasm,Hoechst
Cytoplasm_Texture_Correlation_Hoechst_3_03_256,4.5871501881350685e-26,0.15706153036255785,8.660223200013621e-26,25.06247091476266,on,Cytoplasm,Hoechst
Cytoplasm_Texture_Correlation_Mitochondria_3_00_256,5.044068804953268e-15,0.11860035489088297,7.618283229550108e-15,14.118142885344778,on,Cytoplasm,Mitochondria
Cytoplasm_Texture_Correlation_Mitochondria_3_01_256,1.755972876152696e-11,0.10323020126852776,2.481019741144777e-11,10.605369780090493,on,Cytoplasm,Mitochondria
Cytoplasm_Texture_Correlation_Mitochondria_3_02_256,8.186290126855998e-7,0.07846294144812309,1.0264108040733571e-6,5.988678785194365,on,Cytoplasm,Mitochondria
Cytoplasm_Texture_Correlation_Mitochondria_3_03_256,0.00006213262807141614,0.06589835493855153,0.00007341931050884965,4.134189698333911,on,Cytoplasm,Mitochondria
Cytoplasm_Texture_Correlation_PM_3_00_256,3.6810206959801365e-8,0.08634545090705445,4.7700800734890524e-8,7.321474330565219,on,Cytoplasm,PM
Cytoplasm_Texture_Correlation_PM_3_01_256,1.2162547088074456e-7,0.08339687809275824,1.5486033792373872e-7,6.810059797389064,on,Cytoplasm,PM
